Cohort_id	Trait_onto_ID	Cancer_type	Cancer_subtype	Cancer_DOID	Case_name	Case_age_group	Case_sex	Case_size	Control_name	Control_age_group	Control_sex	Control_size	Condition	Conclusion	Platform	Tissue	Type	pubmed_id
METAC_164	36	breast cancer	nan	1612	stage I of breast cancer 		F		healthy controls	44.56 ± 10.85	F	155	List of metabolites (20 entities) distinguishing between healthy controls (H) and stage I of breast cancer	Serum was collected from 152 pre-operative breast cancer (BC) patients and 155 healthy controls in this case-controlled study. Gas chromatography-mass spectrometry (GC-MS) was used to obtain metabolic profiles followed by chemometric analysis with the identification of significantly differentiated metabolites including 7 for diagnosis, 18 for grading, 23 for staging, 15 for stage III subcategory and 10 for neoadjuvant status (p-value < 0.05).	GC-MS	Blood	case vs.control group	28496143
METAC_165	36	breast cancer	nan	1612	stage II of breast cancer 		F		healthy controls	44.56 ± 10.85	F	155	List of metabolites (20 entities) distinguishing between healthy controls (H) and stage II of breast cancer	Serum was collected from 152 pre-operative breast cancer (BC) patients and 155 healthy controls in this case-controlled study. Gas chromatography-mass spectrometry (GC-MS) was used to obtain metabolic profiles followed by chemometric analysis with the identification of significantly differentiated metabolites including 7 for diagnosis, 18 for grading, 23 for staging, 15 for stage III subcategory and 10 for neoadjuvant status (p-value < 0.05).	GC-MS	Blood	case vs.control group	28496143
METAC_166	36	breast cancer	nan	1612	stage III of breast cancer 		F		healthy controls	44.56 ± 10.85	F	155	List of metabolites (20 entities) distinguishing between healthy controls (H) and stage III of breast cancer	Serum was collected from 152 pre-operative breast cancer (BC) patients and 155 healthy controls in this case-controlled study. Gas chromatography-mass spectrometry (GC-MS) was used to obtain metabolic profiles followed by chemometric analysis with the identification of significantly differentiated metabolites including 7 for diagnosis, 18 for grading, 23 for staging, 15 for stage III subcategory and 10 for neoadjuvant status (p-value < 0.05).	GC-MS	Blood	case vs.control group	28496143
METAC_167	36	breast cancer	nan	1612	stage IV of breast cancer 		F		healthy controls	44.56 ± 10.85	F	155	List of metabolites (20 entities) distinguishing between healthy controls (H) and stage IV of breast cancer	Serum was collected from 152 pre-operative breast cancer (BC) patients and 155 healthy controls in this case-controlled study. Gas chromatography-mass spectrometry (GC-MS) was used to obtain metabolic profiles followed by chemometric analysis with the identification of significantly differentiated metabolites including 7 for diagnosis, 18 for grading, 23 for staging, 15 for stage III subcategory and 10 for neoadjuvant status (p-value < 0.05).	GC-MS	Blood	case vs.control group	28496143
METAC_168	203	breast cancer	nan	1612	stage IIIA of breast cancer 		F		healthy controls	44.56 ± 10.85	F	155	List of metabolites (14 entities) distinguishing between healthy controls (H) and stage IIIA of breast cancer at fold change > 2 and p < 0.05.	Serum was collected from 152 pre-operative breast cancer (BC) patients and 155 healthy controls in this case-controlled study. Gas chromatography-mass spectrometry (GC-MS) was used to obtain metabolic profiles followed by chemometric analysis with the identification of significantly differentiated metabolites including 7 for diagnosis, 18 for grading, 23 for staging, 15 for stage III subcategory and 10 for neoadjuvant status (p-value < 0.05).	GC-MS	Blood	case vs.control group	28496143
METAC_169	203	breast cancer	nan	1612	stage IIIB of breast cancer 		F		healthy controls	44.56 ± 10.85	F	155	List of metabolites (14 entities) distinguishing between healthy controls (H) and stage IIIB of breast cancer at fold change > 2 and p < 0.05.	Serum was collected from 152 pre-operative breast cancer (BC) patients and 155 healthy controls in this case-controlled study. Gas chromatography-mass spectrometry (GC-MS) was used to obtain metabolic profiles followed by chemometric analysis with the identification of significantly differentiated metabolites including 7 for diagnosis, 18 for grading, 23 for staging, 15 for stage III subcategory and 10 for neoadjuvant status (p-value < 0.05).	GC-MS	Blood	case vs.control group	28496143
METAC_170	203	breast cancer	nan	1612	stage IIIC of breast cancer 		F		healthy controls	44.56 ± 10.85	F	155	List of metabolites (14 entities) distinguishing between healthy controls (H) and three IIIC of breast cancer at fold change > 2 and p < 0.05.	Serum was collected from 152 pre-operative breast cancer (BC) patients and 155 healthy controls in this case-controlled study. Gas chromatography-mass spectrometry (GC-MS) was used to obtain metabolic profiles followed by chemometric analysis with the identification of significantly differentiated metabolites including 7 for diagnosis, 18 for grading, 23 for staging, 15 for stage III subcategory and 10 for neoadjuvant status (p-value < 0.05).	GC-MS	Blood	case vs.control group	28496143
METAC_171	27	breast cancer	nan	1612	breast cancer patients		F		healthy controls	44.56 ± 10.85	F	155	List of metabolites (10 entities) distinguishing between healthy controls (H) and breast cancer patients (BC) at fold change 1.5 and p < 0.05.	Serum was collected from 152 pre-operative breast cancer (BC) patients and 155 healthy controls in this case-controlled study. Gas chromatography-mass spectrometry (GC-MS) was used to obtain metabolic profiles followed by chemometric analysis with the identification of significantly differentiated metabolites including 7 for diagnosis, 18 for grading, 23 for staging, 15 for stage III subcategory and 10 for neoadjuvant status (p-value < 0.05).	GC-MS	Blood	case vs.control group	28496143
METAC_172	32	breast cancer	nan	1612	breast cancer patients on neoadjuvant therapy (Neo)		F		healthy controls	44.56 ± 10.85	F	155	List of metabolites (10 entities) distinguishing between healthy controls (H) and breast cancer patients on neoadjuvant therapy (Neo) at fold change 1.5 and p < 0.05.	Serum was collected from 152 pre-operative breast cancer (BC) patients and 155 healthy controls in this case-controlled study. Gas chromatography-mass spectrometry (GC-MS) was used to obtain metabolic profiles followed by chemometric analysis with the identification of significantly differentiated metabolites including 7 for diagnosis, 18 for grading, 23 for staging, 15 for stage III subcategory and 10 for neoadjuvant status (p-value < 0.05).	GC-MS	Blood	case vs.control group	28496143
METAC_173	62	breast cancer	Luminal A; Luminal B; Luminal B Neu amplified	1612	early breast cancer(EBC) LR-1	61.5 (48-76)	F	8					Levels (AUC) of discriminant metabolites in EBC clusters LR-1.	Lactate, pyruvate, alanine levels were significantly higher and acetate, glucose and glutamine levels were significantly lower in cluster LR-1 compared to clusters LR-2 and LR-3.	¹H NMR	Blood	profiling group	28611296
METAC_174	62	breast cancer	Luminal A; Luminal B; Luminal B Neu amplified; Neu amplified; Triple Receptor Negative	1612	early breast cancer(EBC) LR-2	"50.2 (29-65)	"	F	19					Levels (AUC) of discriminant metabolites in EBC clusters LR-2.	Lactate, pyruvate, alanine levels were significantly higher and acetate, glucose and glutamine levels were significantly lower in cluster LR-1 compared to clusters LR-2 and LR-3.	¹H NMR	Blood	profiling group	28611296
METAC_175	62	breast cancer	Luminal A; Luminal B; Neu amplified; Triple Receptor Negative	1612	early breast cancer(EBC) LR-3	59 (44-82)	F	16					Levels (AUC) of discriminant metabolites in EBC clusters LR-3.	Lactate, pyruvate, alanine levels were significantly higher and acetate, glucose and glutamine levels were significantly lower in cluster LR-1 compared to clusters LR-2 and LR-3.	¹H NMR	Blood	profiling group	28611296
METAC_176	132	breast cancer	Luminal A /B; Triple Receptor Negative	1612	metastatic breast cancer(MBC) MT-1	"66 (58-75)	"	F	5					Levels (AUC) of discriminant metabolites in MBC clusters MT-1.	There is none significant clinical difference between MT-1 and MT-2.	¹H NMR	Blood	profiling group	28611296
METAC_177	132	breast cancer	Luminal A /B; Neu Amplified; Triple Receptor Negative	1612	metastatic breast cancer(MBC) MT-2	"61 (44-83)	"	F	8					Levels (AUC) of discriminant metabolites in MBC clusters MT-2.	There is none significant clinical difference between MT-1 and MT-2.	¹H NMR	Blood	profiling group	28611296
METAC_178	31	breast cancer	nan	1612	breast cancer patients after tumor removal		F	24	breast cancer patients with tumor removal		F	24	Levels of oxysterols in breast cancer patients-comparison of paired samples before and after tumor removal	Analysis by the independent Mann-Whitney test showed that the level of 27-hydroxycholesterol was significantly lower and that the level of 7-ketocholesterol was higher in the second sampling compared to the first sampling. Analysis by the paired Wilcoxon test showed non-significant results for both oxysterols as well as for others.	HPLC	Plasma	case vs.control group	28915107
METAC_141	191	breast cancer	nan	1612	pathologic complete response	49.5 (37-60)	F	8	stable disease	43.7 (37-59)	F	6	pathologic complete response vs. stable disease	The concentrations of four metabolites, three (threonine, isoleucine, glutamine) from NMR and one (linolenic acid) from LCeMS were significantly different when compar-ing response to chemotherapy	NMR	Serum	case vs.control group	23142658
METAC_179	191	breast cancer	nan	1612	pathologic complete response	49.5 (37-60)	F	8	partial response	48.7 (34-64)	F	14	pathologic complete response vs. partial response	The concentrations of four metabolites, three (threonine, isoleucine, glutamine) from NMR and one (linolenic acid) from LCeMS were significantly different when compar-ing response to chemotherapy	NMR	Serum	case vs.control group	23142658
METAC_180	191	breast cancer	nan	1612	partial response	48.7 (34-64)	F	14	stable disease	43.7 (37-59)	F	6	partial response vs. stable disease	The concentrations of four metabolites, three (threonine, isoleucine, glutamine) from NMR and one (linolenic acid) from LCeMS were significantly different when compar-ing response to chemotherapy	NMR	Serum	case vs.control group	23142658
METAC_181	191	breast cancer	nan	1612	pathologic complete response	49.5 (37-60)	F	8	stable disease	43.7 (37-59)	F	6	pathologic complete response vs. stable disease	The concentrations of four metabolites, three (threonine, isoleucine, glutamine) from NMR and one (linolenic acid) from LCeMS were significantly different when compar-ing response to chemotherapy	LC-MS	Serum	case vs.control group	23142658
METAC_182	191	breast cancer	nan	1612	pathologic complete response	49.5 (37-60)	F	8	partial response	48.7 (34-64)	F	14	pathologic complete response vs. partial response	The concentrations of four metabolites, three (threonine, isoleucine, glutamine) from NMR and one (linolenic acid) from LCeMS were significantly different when compar-ing response to chemotherapy	LC-MS	Serum	case vs.control group	23142658
METAC_183	191	breast cancer	nan	1612	partial response	48.7 (34-64)	F	14	stable disease	43.7 (37-59)	F	6	partial response vs. stable disease	The concentrations of four metabolites, three (threonine, isoleucine, glutamine) from NMR and one (linolenic acid) from LCeMS were significantly different when compar-ing response to chemotherapy	LC-MS	Serum	case vs.control group	23142658
METAC_184	27	breast cancer	nan	1612	breast cancer patients		F	86					Concentrations of nine metabolites in 86 breast cancer patients.	nan	LC-MS/MS	Plasma	profiling group	29183390
METAC_185	58	breast cancer	nan	1612	UM ultra-rapid metabolizer		F						Concentrations of tamoxifen metabolites stratified by metabolizer group(ultra-rapid metabolizers).	No significant association between CYP2D6 phenotype and tamoxifen metabolites.	LC-MS/MS	Plasma	profiling group	29183390
METAC_186	58	breast cancer	nan	1612	EM extensive/normal metabolizers		F						Concentrations of tamoxifen metabolites stratified by metabolizer group(extensive/normal metabolizers).	No significant association between CYP2D6 phenotype and tamoxifen metabolites.	LC-MS/MS	Plasma	profiling group	29183390
METAC_187	58	breast cancer	nan	1612	IM intermediate metabolizer		F						Concentrations of tamoxifen metabolites stratified by metabolizer group(intermediate metabolizers).	No significant association between CYP2D6 phenotype and tamoxifen metabolites.	LC-MS/MS	Plasma	profiling group	29183390
METAC_188	58	breast cancer	nan	1612	PM poor metabolizer		F						Concentrations of tamoxifen metabolites stratified by metabolizer group(poor metabolizers).	No significant association between CYP2D6 phenotype and tamoxifen metabolites.	LC-MS/MS	Plasma	profiling group	29183390
METAC_189	27	breast cancer	nan	1612	breast cancer patients		F	55	healthy controls 		F	25	Differentiating metabolites between breast cancer patients and healthy controls identified from the learning dataset.	lower levels of lysophosphatidylcholines and higher levels of sphingomyelins and acylcarnitines in breast cancer patients.	ESI-MS/MS	Plasma	case vs.control group	23584023
METAC_190	128	breast cancer	nan	1612	postmenopausal breast cancer patients	59.0 ± 7.1 	F	86	postmenopausal healthy female	59.5 ± 7.9	F	36	Urinary endogenous estrogens and their metabolites excretion in postmenopausal healthy female (H-post) and breast cancer patients (BC-post).	The levels for E1, E2, 2-OHE2, 4-OHE2, 16α-OHE1 and 2-MeOE2 were significantly different between the postmenopausal healthy female (H-post) and breast cancer patients (BC-post).	UFLC-MS/MS	Urine	case vs.control group	22152797
METAC_191	27	breast cancer	nan	1612	Breast cancer	48.6 (26-73)	F	21	Healthy control		F	25	the metabolic profiles in urine from breast cancer patients and healthy volunteer	Urinary metabolic products may be new potential predictive markers for therapy efficacy	CE-MS	Urine	case vs.control group	23726806
METAC_192	40	breast cancer	nan	1612	partial response patients (after vs before chemotherapy)		F	8			F		the metabolic profiles in urine from breast cancer patients who are partial response (PR) after chemotherapy compared with before chemotherapy	Urinary metabolic products may be new potential predictive markers for therapy efficacy	CE-MS	Urine	case vs.control group	23726806
METAC_193	40	breast cancer	nan	1612	maintained stable+progressed disease (after vs before chemotherapy)		F	13			F		the metabolic profiles in urine from breast cancer patients who are maintained stable (SD) and progressed disease (PD) after chemotherapy compared with before chemotherapy	Urinary metabolic products may be new potential predictive markers for therapy efficacy	CE-MS	Urine	case vs.control group	23726806
METAC_194	27	breast cancer	nan	1612	Normal breast cancer tissue	56 ± 10	F	19					metabolites quantified in normal breast tissues from breast cancer patients	nan	UPLC-ESI-QTOF-MS/MS	Breast tissue	profiling group	30690879
METAC_195	27	breast cancer	nan	1612	Malignant breast cancer tissue	56 ± 10	F	19					metabolites quantified in malignant breast tissues from breast cancer patients	nan	UPLC-ESI-QTOF-MS/MS	Breast tissue	profiling group	30690879
METAC_196	27	breast cancer	nan	1612	Breast cancer urine	56 ± 10	F	19					metabolites quantified in urine from breast cancer patients	nan	UPLC-ESI-QTOF-MS/MS	Urine	profiling group	30690879
METAC_197	27	breast cancer	nan	1612	Breast cancer plasma	56 ± 10	F	19					metabolites quantified in plasma from breast cancer patients	nan	UPLC-ESI-QTOF-MS/MS	Plasma	profiling group	30690879
METAC_198	181	breast cancer	nan	1612	Pre-RT breast cancer patients	55 ± 14	F	151	Healthy controls		F		Pre-radiotherapy breast cancer patients VS healthy controls	Before RT, patients had major alterations in the serum concentrations of metabolites involved in glycolysis, citric acid cycle and amino acid metabolism	GC-EI-QTOF-MS	Serum	case vs.control group	30444915
METAC_199	181	breast cancer	nan	1612	post-RT breast cancer patients	55 ± 14	F	151	Healthy controls		F		Post-radiotherapy breast cancer patients VS healthy controls	RT produced changes in metabolite levels that tended towards the control group values	GC-EI-QTOF-MS	Serum	case vs.control group	30444915
METAC_200	181	breast cancer	nan	1612	post-RT breast cancer patients	55 ± 14	F	151	Pre-RT breast cancer patients	55 ± 14	F	151	Post-radiotherapy breast cancer patients VS Pre-radiotherapy breast cancer patients	RT was associated with further increases in the levels of pyruvate, fumarate, malate, citrate and glutamine, and did not modify the pre-RT levels of hydroxybutyrate, oxaloacetate, aspartate, glutamate, and aconitate;treatment normalized (or almost normalized) the serum concentrations of lactate, alanine, valine, leucine, isoleucine, proline, malonyl coenzyme A, glycine, succinate, serine and ketoglutarate.	GC-EI-QTOF-MS	Serum	case vs.control group	30444915
METAC_201	181	breast cancer	nan	1612	patients received hormone therapy		F	114	patients without hormone therapy		F	37	patients received hormone therapy VS patients without hormone therapy(post-RT)	Adjuvant hormone therapy was associated with mild changes in serum glycine concentrations post-RT	GC-EI-QTOF-MS	Serum	case vs.control group	30444915
METAC_202	181	breast cancer	nan	1612	patients received chemotherapy		F	77	patients without chemotherapy		F	74	patients received chemotherapy VS patients without chemotherapy (post-RT)	Additionally, adjuvant chemotherapy was associated with mild changes in lactate, oxaloacetate and glutamine concentrations post-RT	GC-EI-QTOF-MS	Serum	case vs.control group	30444915
METAC_203	27	breast cancer	nan	1612	primary breast cancer patients	55.6 (30.6-84.4)	F	80	Healthy controls		F	100	metabolites differentially expressed between primary breast cancer patients and healthy controls (training cohort)	Two metabolites were found to be upregulated, while 16 metabolites were downregulated in primary breast cancer patients compared to healthy controls in both the training and validation cohorts	UHPLC-MS/MS;FIA-MS/MS	Serum	case vs.control group	30426507
METAC_204	27	breast cancer	nan	1612	primary breast cancer patients	50 (26.8-77.4)	F	109	Healthy controls		F	50	metabolites differentially expressed between primary breast cancer patients and healthy controls (validation cohort)	Two metabolites were found to be upregulated, while 16 metabolites were downregulated in primary breast cancer patients compared to healthy controls in both the training and validation cohorts	UHPLC-MS/MS;FIA-MS/MS	Serum	case vs.control group	30426507
METAC_205	40	breast cancer	nan	1612	chemotherapy recipients after 6 months	52.8 (38-69)	F	35	recipients before chemotherapy	52.8 (38-69)	F	35	Metabolic changes in patients receiving chemotherapy	alpha-AAA,ADMA,PC aa C38:3, PC ae C42:1,hexoses and lipid2 were significantly increased,as well as decreases in 18 different metabolites	NMR;MS	Serum	case vs.control group	30401977
METAC_206	27	breast cancer	nan	1612	patients without chemotherapy(6 months after surgery)	58.9 (46-68)	F	25	patients without chemotherapy(before surgery)	58.9 (46-68)	F	25	Metabolic changes in patients not receiving chemotherapy	glutamate remained significantly increased after 6 months	NMR;MS	Serum	case vs.control group	30401977
METAC_207	27	breast cancer	nan	1612	Weight gainers	54.1 (42-68)	F	17	Non-weight gainers	54.6 (38-69)	F	35	differential metabolites in patients with weight gain relative to patients without weight gain	patients who later gained weight had lower levels of acylcarnitines, phosphatidylcholines, sphingolipids and lipid1	NMR;MS	Serum	case vs.control group	30401977
METAC_208	27	breast cancer	nan	1612	Breast Cancer Patients	46.2 ± 4.8	F	44	Healthy controls	45.8 ± 5.5	F	34	organic acids amino acids and biogenic amines between breast cancer patients and healthy controls	The levels of 30 metabolites changed signif?icantly in the BC group when compared to the controlgroup	GC-MS/MS;UPLC-MS/MS	Serum	case vs.control group	30103303
METAC_209	27	breast cancer	nan	1612	Breast Cancer Patients	46.2 ± 4.8	F	44	patients suffered from Chromic fibroadenosis of breast	45.1 ± 5.5	F	38	organic acids amino acids and biogenic amines between breast cancer patients and patients of Chromic fibroadenosis of breast	significantdifferences in 21 metabolites were observed between the BE and BC individuals	GC-MS/MS;UPLC-MS/MS	Serum	case vs.control group	30103303
METAC_210	132	breast cancer	nan	1612	metastatic breast cancer group	58.3 (37‐66)	F	41	localized breast cancer group	54.1 (33‐64)	F	46	differential metabolites in metastatic breast cancer serum samples relative to localized breast cancer serum samples	13 metabolites were found to be elevated in the MT samples compared to the LC samples whereas 8 metabolites were downregulated	UPLC/MS	Serum	case vs.control group	29737597
METAC_211	140	breast cancer	nan	1612	localized breast cancer group	54.1 (33‐64)	F	46	normal control group	50.5 (30‐59)	F	49	differential metabolites in localized breast cancer serum samples relative to normal control samples	A total of 57 metabolites were identified as differential variables between the LC and NC samples	UPLC/MS	Serum	case vs.control group	29737597
METAC_212	36	breast cancer	nan	1612	Breast cancer Patient	60.7 ± 8	F	56	Healthy control	59.1 ± 7.3	F	56	Bile acid composition of the human serum samples (breast cancer patients vs healthy controls)	Total bile acid, CDCA and LCA levels were reduced in serum from breast cancer patients as compared to age and sex matched healthy individuals	HPLC	Serum	case vs.control group	29655782
METAC_213	36	breast cancer	nan	1612	Stage 1 breast cancer	61.8 ± 5.5	F	16	Healthy control	59.1 ± 7.3	F	56	Bile acid composition of the human serum samples (breast cancer stage 1 vs healthy controls)	nan	HPLC	Serum	case vs.control group	29655782
METAC_214	36	breast cancer	nan	1612	Stage 2 breast cancer	61.5 ± 8.6	F	25	Healthy control	59.1 ± 7.3	F	56	Bile acid composition of the human serum samples (breast cancer stage 2 vs healthy controls)	nan	HPLC	Serum	case vs.control group	29655782
METAC_215	36	breast cancer	nan	1612	Stage 3 breast cancer	60.6 ± 8.2	F	10	Healthy control	59.1 ± 7.3	F	56	Bile acid composition of the human serum samples (breast cancer stage 3 vs healthy controls)	nan	HPLC	Serum	case vs.control group	29655782
METAC_216	27	breast cancer	TNBC or LABC	1612	breast cancer tumor tissue		F	47	normal adjacent tissue		F	35	Metabolites significantly (p<0.05) expressed between all breast tumor and all normal tissues(All ages)	lipids, unsaturated lipids, and ATP levels were lower in the tumors; however, the methionine, choline, and phosphocholine levels were higher in the tumors compared to the adjacent normal tissues	HR-MAS NMR;¹H NMR	Breast tissue	case vs.control group	29545929
METAC_217	27	breast cancer	TNBC or LABC	1612	breast cancer tumor tissue		F	10	normal adjacent tissue		F		Metabolites significantly (p<0.05) expressed between all breast tumor and all normal tissues(below 50 year-old patients)	phosphocholine, myo-inositol and uridine metabolites were significantly higher in the tumors compared to the normal adjacent tissues of premenopausal women	HR-MAS NMR;¹H NMR	Breast tissue	case vs.control group	29545929
METAC_218	27	breast cancer	TNBC or LABC	1612	breast cancer tumor tissue		F	37	normal adjacent tissue		F		Metabolites significantly (p<0.05) expressed between all breast tumor and all normal tissues(above 50 year-old patients)	nan	HR-MAS NMR;¹H NMR	Breast tissue	case vs.control group	29545929
METAC_219	27	breast cancer	TNBC or LABC	1612	breast cancer tumor tissue		F	30	normal adjacent tissue		F	18	Metabolites significantly (p<0.05) expressed between all breast tumor and all normal tissues(African-American women)	nan	HR-MAS NMR;¹H NMR	Breast tissue	case vs.control group	29545929
METAC_220	107	breast cancer	LABC	1612	breast cancer tumor tissue		F	29	normal adjacent tissue		F		Metabolites significantly expressed (p<0.05) in luminal A breast cancer (LABC)	nan	HR-MAS NMR;¹H NMR	Breast tissue	case vs.control group	29545929
METAC_221	107	breast cancer	LABC	1612	breast cancer tumor tissue		F	17	normal adjacent tissue		F		Metabolites significantly expressed (p<0.05) in luminal A breast cancer (African-American women)	nan	HR-MAS NMR;¹H NMR	Breast tissue	case vs.control group	29545929
METAC_222	107	breast cancer	LABC	1612	African American		F	17	Caucasian		F	12	metabolites with p-values < 0.05 between tumor tissues from African American and Caucasian in luminal A breast cancer (LABC)	nan	HR-MAS NMR;¹H NMR	Breast tissue	case vs.control group	29545929
METAC_223	210	breast cancer	TNBC	1612	breast cancer tumor tissue		F	18	normal adjacent tissue		F		Metabolites significantly expressed (p<0.05) in triple-negative breast cancer (TNBC)	nan	HR-MAS NMR;¹H NMR	Breast tissue	case vs.control group	29545929
METAC_224	210	breast cancer	TNBC	1612	breast cancer tumor tissue		F	13	normal adjacent tissue		F		Metabolites significantly expressed (p<0.05) in triple-negative breast cancer (African-American women)	nan	HR-MAS NMR;¹H NMR	Breast tissue	case vs.control group	29545929
METAC_225	210	breast cancer	TNBC	1612	African American		F	13	Caucasian		F	5	metabolites with p-values < 0.05 between tumor tissues from African American and Caucasian in triple-negative breast cancer (TNBC)	nan	HR-MAS NMR;¹H NMR	Breast tissue	case vs.control group	29545929
METAC_226	72	breast cancer	TNBC or LABC	1612	TNBC(ER-)		F	13	LABC(ER+)		F	17	metabolites with p-values < 0.05 between TNBC(ER-) vs. LABC(ER+) in African Americans	only ATP was found be lower in TNBC and higher in the LABC tissues	HR-MAS NMR;¹H NMR	Breast tissue	case vs.control group	29545929
METAC_227	26	breast cancer	TNBC or RH positive(MCF-7)	1612	BRCA1-like cell lines(HCC70;MDA-MB-436;MDA-MB-468)				non-BRCA1-like cell lines(MCF-7;MDA-MB-231)				metabolites identified in the breast cancer cell lines to discriminate BRCA1-like and non BRCA1-like breast cancer profile	All metabolites were significantly under-represented in BRCA1-like BC cell lines compared withBRCA1wild-type (wt) BC cell lines	LC/ESI-QTOF-MS	Plasma	case vs.control group	29259228
METAC_228	26	breast cancer	TNBC or RH positive(MCF-7)	1612	BRCA1-like cell lines(HCC70;MDA-MB-436;MDA-MB-468)				non-BRCA1-like cell lines(MCF-7;MDA-MB-231)				metabolites identified in secretome of the breast cancer cell lines to discriminate BRCA1-like and non BRCA1-like breast cancer profile	nan	LC/ESI-QTOF-MS	Plasma	case vs.control group	29259228
METAC_229	33	breast cancer	nan	1612	Tam therapy	45.4 (27.3-73.7)	F	281					distributions of concentrations of tamoxifen and its metabolites in 550 plasma specimens of 281 breast cancer patients	NDM (230 ng/mL) had the highest mean concentration compared with endoxifen (25.0 ng/mL) and 4-OH tamoxifen (8.53 ng/mL)	LC-MS	Plasma	profiling group	29245979
METAC_238	27	breast cancer	nan	1612	breast cancer patients(tumor)	52.7 ± 12.3	F	60	healthy subjects(control)	51.9 ± 11.1	F	40	the alteration of metabolites identified between breast cancer patients and healthy controls	17 metabolites (glycerophosphocholine, phenyllactic acid, pentosidine, and so forth) showed the differential expression between tumor group and control group	LC-MS	Plasma	case vs.control group	30556899
METAC_239	32	breast cancer	nan	1612	survivors(post-treatment)	61 ± 10	F	14	survivors(pre-treatment)	61 ± 10	F	18	metabolites determined in pre- and post-treatment doxorubicin biopsies for the survivor(≥5 years) group	Paired Wilcoxon Signed Ranks test showed significant decrease of GPC and Cho concentrations in survivors post-treatment	HR MAS MR	Breast tissue	case vs.control group	21823183
METAC_240	32	breast cancer	nan	1612	non-survivors(post-treatment)	60 ± 13	F	8	non-survivors(pre-treatment)	60 ± 13	F	8	metabolites determined in pre- and post-treatment doxorubicin biopsies for the non-survivor(<5 years) group	non-survivors showed no significant changes in metabolites when comparing pre- and post-treatment samples	HR MAS MR	Breast tissue	case vs.control group	21823183
METAC_241	32	breast cancer	nan	1612	partial response(post-treatment)	65 ± 12	F	11	partial response(pre-treatment)	65 ± 12	F	11	metabolites determined in pre- and post-treatment doxorubicin biopsies for the partial response group	tCho showed a trend to decrease in patients with PR post-treatment(not significant);GPC was significantly decreased in patients with PR post-treatment	HR MAS MR	Breast tissue	case vs.control group	21823183
METAC_242	32	breast cancer	nan	1612	stable disease(post-treatment)	62 ± 11	F	14	stable disease(pre-treatment)	62 ± 11	F	19	metabolites determined in pre- and post-treatment doxorubicin biopsies for the stable disease group	patients with SD showed no significant metabolic changes when comparing pre- and post-treatment samples	HR MAS MR	Breast tissue	case vs.control group	21823183
METAC_244	57	breast cancer	nan	1612	wt/wt (‘‘wt’’ includes all extensive metabolizer alleles (CYP2D6*1, CYP2D6*2, CYP2D6*35))		F	78					Concentrations of tamoxifen and its metabolites detected in patients with the CYP2D6	Significant differences were observed among CYP2D6 genotypes in plasma concentration ratios of endoxifen/NDM-TAM (p,0.001)but not of 4OH-TAM/TAM.	HPLC-MS	Plasma	profiling group	23922954
METAC_245	57	breast cancer	nan	1612	wtxN/P (‘‘wtxN’’ includes all ultraextensive metabolizer alleles (CYP2D6*1xN, CYP2D6*2xN),‘P’’ includes all null alleles (CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6, CYP2D6*7, CYP2D6*8))		F	2					Concentrations of tamoxifen and its metabolites detected in patients with the CYP2D6	Significant differences were observed among CYP2D6 genotypes in plasma concentration ratios of endoxifen/NDM-TAM (p,0.001)but not of 4OH-TAM/TAM.	HPLC-MS	Plasma	profiling group	23922954
METAC_246	57	breast cancer	nan	1612	wt/P (‘‘wt’’ includes all extensive metabolizer alleles (CYP2D6*1, CYP2D6*2, CYP2D6*35),‘‘P’’ includes all null alleles (CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6, CYP2D6*7, CYP2D6*8))		F	26					Concentrations of tamoxifen and its metabolites detected in patients with the CYP2D6	Significant differences were observed among CYP2D6 genotypes in plasma concentration ratios of endoxifen/NDM-TAM (p,0.001)but not of 4OH-TAM/TAM.	HPLC-MS	Plasma	profiling group	23922954
METAC_247	57	breast cancer	nan	1612	wt/I (‘‘wt’’ includes all extensive metabolizer alleles (CYP2D6*1, CYP2D6*2, CYP2D6*35),‘‘I’’ includes all intermediate metabolizer alleles (CYP2D6*9, CYP2D6*10, CYP2D6*17, CYP2D6*41))		F	4					Concentrations of tamoxifen and its metabolites detected in patients with the CYP2D6	Significant differences were observed among CYP2D6 genotypes in plasma concentration ratios of endoxifen/NDM-TAM (p,0.001)but not of 4OH-TAM/TAM.	HPLC-MS	Plasma	profiling group	23922954
METAC_248	57	breast cancer	nan	1612	I/I (‘‘I’’ includes all intermediate metabolizer alleles (CYP2D6*9, CYP2D6*10, CYP2D6*17, CYP2D6*41))		F	1					Concentrations of tamoxifen and its metabolites detected in patients with the CYP2D6	Significant differences were observed among CYP2D6 genotypes in plasma concentration ratios of endoxifen/NDM-TAM (p,0.001)but not of 4OH-TAM/TAM.	HPLC-MS	Plasma	profiling group	23922954
